id	title	startYear	genres	principals
tt0035423	Kate & Leopold	2001	Comedy,Fantasy,Romance	nm0000212,nm0413168,nm0000630,nm0005227,nm0003506
tt0078935	Cannibal Holocaust	1980	Adventure,Horror	nm0449404,nm0161889,nm0685194,nm0053230,nm0219959
tt0080319	9 to 5	1980	Comedy	nm0000404,nm0005499,nm0000573,nm0001056,nm0383359
tt0080339	Airplane!	1980	Comedy	nm0001332,nm0353546,nm0000558,nm0000717,nm0000720,nm0001878,nm0958387
tt0080354	Alligator	1980	Horror,Sci-Fi,Thriller	nm0001233,nm0726939,nm0311155,nm0415591,nm0853546
tt0080360	Altered States	1980	Horror,Sci-Fi,Thriller	nm0000458,nm0001974,nm0000837,nm0354024,nm0001692
tt0080365	American Gigolo	1980	Crime,Drama,Mystery	nm0000152,nm0001381,nm0001185,nm0887684,nm0001707
tt0080377	Any Which Way You Can	1980	Action,Comedy	nm0000142,nm0516800,nm0507212,nm0810342,nm0887174
tt0080437	The Big Red One	1980	Drama,War	nm0001511,nm0000434,nm0001019,nm0223738,nm0002087
tt0080453	The Blue Lagoon	1980	Adventure,Drama,Romance	nm0000222,nm0000803,nm0571674,nm0200122,nm0459170
tt0080455	The Blues Brothers	1980	Action,Adventure,Comedy	nm0000004,nm0000101,nm0130572,nm0001006,nm0000484
tt0080472	Bronco Billy	1980	Action,Adventure,Comedy	nm0000142,nm0516800,nm0507212,nm0001079
tt0080474	Brubaker	1980	Crime,Drama	nm0000602,nm0001433,nm0000151,nm0000737,nm0742341
tt0080487	Caddyshack	1980	Comedy,Sport	nm0000331,nm0001098,nm0000195,nm0461095,nm0000601
tt0080516	The Changeling	1980	Horror,Mystery	nm0001715,nm0886556,nm0002048,nm0550577,nm0575389
tt0080520	Cheech and Chong's Next Movie	1980	Comedy,Crime,Sci-Fi	nm0001507,nm0001045,nm0346186,nm0447926
tt0080549	Coal Miner's Daughter	1980	Biography,Drama,Music	nm0000651,nm0000169,nm0375629,nm0101992,nm0000776
tt0080569	Cruising	1980	Crime,Drama,Mystery	nm0000199,nm0000649,nm0000261,nm0185210,nm0001243
tt0080661	Dressed to Kill	1980	Crime,Drama,Mystery	nm0000323,nm0001141,nm0000262,nm0330360,nm0000361
tt0080678	The Elephant Man	1980	Biography,Drama	nm0000164,nm0000457,nm0000843,nm0000024,nm0000186
tt0080684	Star Wars: Episode V - The Empire Strikes Back	1980	Action,Adventure,Fantasy	nm0000434,nm0000148,nm0000402,nm0001850,nm0449984
tt0080716	Fame	1980	Drama,Music,Musical	nm0058532,nm0001011,nm0001087,nm0212847,nm0000570
tt0080736	The Final Countdown	1980	Action,Adventure,Sci-Fi	nm0000018,nm0000640,nm0001684,nm0267232,nm0852279
tt0080745	Flash Gordon	1980	Action,Adventure,Sci-Fi	nm0429207,nm0000758,nm0001884,nm0867694,nm0388198
tt0080749	The Fog	1980	Horror,Thriller	nm0000105,nm0000130,nm0001463,nm0002144,nm0000118
tt0080761	Friday the 13th	1980	Horror,Mystery,Thriller	nm0658133,nm0454415,nm0852551,nm0604987,nm0192446
tt0080801	The Gods Must Be Crazy	1980	Adventure,Comedy	nm0618452,nm0923366,nm0697865,nm0895116,nm0371059
tt0080855	Heaven's Gate	1980	Adventure,Drama,Western	nm0001434,nm0000686,nm0000457,nm0001832,nm0001047
tt0080923	Inferno	1980	Horror	nm0565907,nm0591968,nm0320395,nm0630453,nm0000783
tt0080979	Kagemusha	1980	Drama,History,War	nm0619938,nm0945734,nm0353714,nm0628704,nm0000041
tt0081059	The Lion of the Desert	1980	Biography,Drama,History	nm0000063,nm0001657,nm0001768,nm0660327,nm0002160
tt0081070	The Long Good Friday	1980	Crime,Drama,Mystery	nm0001364,nm0000545,nm0293550,nm0230812,nm0533334
tt0081071	The Long Riders	1980	Biography,Crime,Western	nm0001016,nm0005078,nm0000598,nm0001018,nm0001353
tt0081114	Maniac	1980	Crime,Drama,Horror	nm0818874,nm0613098,nm0492765,nm0684908,nm0527350
tt0081184	Motel Hell	1980	Comedy,Horror,Thriller	nm0001983,nm0512912,nm0663878,nm0043497,nm0175428
tt0081283	Ordinary People	1980	Drama	nm0000661,nm0001546,nm0002139,nm0000459,nm0000602
tt0081353	Popeye	1980	Adventure,Comedy,Family	nm0000245,nm0001167,nm0001827,nm0233209,nm0000265
tt0081375	Private Benjamin	1980	Comedy,War	nm0000443,nm0107281,nm0000800,nm0916434,nm0956052
tt0081383	Prom Night	1980	Horror,Mystery,Thriller	nm0000558,nm0000130,nm0828309,nm0551926,nm0528420
tt0081398	Raging Bull	1980	Biography,Drama,Sport	nm0000134,nm0001550,nm0000582,nm0898634,nm0000217
tt0081455	Scanners	1981	Horror,Sci-Fi,Thriller	nm0642198,nm0480099,nm0001526,nm0199325,nm0000343
tt0081505	The Shining	1980	Drama,Horror	nm0000197,nm0001167,nm0515950,nm0001079,nm0000040
tt0081506	Shogun Assassin	1980	Action,Adventure	nm0423663,nm0559607,nm0645011,nm0633028,nm0396884,nm0593014
tt0081529	Smokey and the Bandit II	1980	Action,Adventure,Comedy	nm0000608,nm0001276,nm0715274,nm0001123,nm0624102
tt0081534	Somewhere in Time	1980	Drama,Fantasy,Romance	nm0001659,nm0005412,nm0001626,nm0942863,nm0844358
tt0081554	Stardust Memories	1980	Comedy,Drama	nm0000095,nm0001648,nm0363888,nm0056763
tt0081562	Stir Crazy	1980	Comedy,Crime	nm0000698,nm0001640,nm0113617,nm0001851,nm0001627
tt0081573	Superman II	1980	Action,Adventure,Sci-Fi	nm0000432,nm0001659,nm0452288,nm0000885,nm0504513,nm0001149
tt0081617	Terror Train	1980	Horror,Mystery,Thriller	nm0424565,nm0000130,nm0000952,nm0004518,nm0006854
tt0081633	Time Bandits	1981	Adventure,Comedy,Fantasy	nm0000125,nm0001167,nm0000092,nm0001340,nm0000416
tt0081696	Urban Cowboy	1980	Drama,Romance,Western	nm0000237,nm0000700,nm0001277,nm0001750,nm0108745
tt0081698	Used Cars	1980	Comedy	nm0000621,nm0912001,nm0334057,nm0574433,nm0000709
tt0081748	Where the Buffalo Roam	1980	Biography,Comedy	nm0001967,nm0000195,nm0456124,nm0041281,nm0513165
tt0081777	Xanadu	1980	Fantasy,Musical,Romance	nm0000556,nm0000037,nm0065235,nm0806277,nm0339254
tt0081974	Absence of Malice	1981	Drama,Romance,Thriller	nm0000056,nm0000398,nm0000837,nm0227039,nm0001628
tt0082010	An American Werewolf in London	1981	Comedy,Horror	nm0622544,nm0000256,nm0067643,nm0001162,nm0000484
tt0082031	Arthur	1981	Comedy,Romance	nm0001545,nm0591485,nm0000024,nm0280242,nm0330619
tt0082085	Blow Out	1981	Crime,Drama,Mystery	nm0000237,nm0000262,nm0001475,nm0001240,nm0000361
tt0082089	Body Heat	1981	Crime,Drama,Romance	nm0000458,nm0000678,nm0001077,nm0001101,nm0001410
tt0082118	The Burning	1981	Horror	nm0559950,nm0043994,nm0045637,nm0430829,nm0562699
tt0082136	The Cannonball Run	1981	Action,Comedy,Sport	nm0000608,nm0000549,nm0000396,nm0001123,nm0624102
tt0082158	Chariots of Fire	1981	Biography,Drama,Sport	nm0002027,nm0153182,nm0268297,nm0369814,nm0399853
tt0082186	Clash of the Titans	1981	Action,Adventure,Family	nm0000059,nm0002122,nm0001954,nm0001749,nm0204471
tt0082198	Conan the Barbarian	1982	Action,Adventure,Fantasy	nm0000216,nm0000469,nm0001884,nm0000922,nm0587518
tt0082250	Death Wish II	1982	Action,Crime,Drama	nm0000314,nm0409866,nm0306696,nm0134201,nm0935382
tt0082269	Diva	1981	Comedy,Crime,Music	nm0273061,nm0029268,nm0092184,nm0527626,nm0000894
tt0082288	Dragonslayer	1981	Action,Adventure,Fantasy	nm0001493,nm0164680,nm0724732,nm0356268,nm0730422
tt0082334	The Entity	1982	Drama,Horror	nm0001347,nm0798779,nm0479530,nm0168642,nm0002089
tt0082340	Escape from New York	1981	Action,Adventure,Sci-Fi	nm0000621,nm0001812,nm0000308,nm0000587,nm0000118
tt0082351	Eye of the Needle	1981	Romance,Thriller,War	nm0000661,nm0625075,nm0533249,nm0114441,nm0549658
tt0082377	The Final Conflict	1981	Horror	nm0000554,nm0106387,nm0330150,nm0366027,nm0048491
tt0082398	For Your Eyes Only	1981	Action,Adventure,Thriller	nm0000549,nm0000962,nm0867694,nm0000468,nm0322515
tt0082406	The Fox and the Hound	1981	Adventure,Animation,Drama	nm0001682,nm0000621,nm0047440,nm0016776,nm0075859,nm0723704,nm0828245,nm0359457,nm0718627
tt0082416	The French Lieutenant's Woman	1981	Drama,Romance	nm0000658,nm0000460,nm0574436,nm0604640,nm0718554
tt0082427	The Funhouse	1981	Horror	nm0000931,nm0141323,nm0042415,nm0567524,nm0001361
tt0082432	Gallipoli	1981	Adventure,Drama,History	nm0000154,nm0497826,nm0449652,nm0394176,nm0001837
tt0082474	The Great Muppet Caper	1981	Adventure,Comedy,Crime	nm0001345,nm0000568,nm0324397,nm0625456
tt0082495	Halloween II	1981	Horror	nm0000130,nm0000587,nm0194234,nm0469552,nm0742819
tt0082509	Heavy Metal	1981	Adventure,Animation,Fantasy	nm0625166,nm0739087,nm0001006,nm0280886,nm0290475,nm0693376,nm0116497,nm0354691,nm0844301,nm0613471
tt0082517	History of the World: Part I	1981	Comedy,History,Musical	nm0000316,nm0002138,nm0001123,nm0001404
tt0082533	The Howling	1981	Horror	nm0908914,nm0001495,nm0240797,nm0831791,nm0001102
tt0082694	The Road Warrior	1981	Action,Adventure,Sci-Fi	nm0000154,nm0817748,nm0696463,nm0681041,nm0004306
tt0082736	Mephisto	1981	Drama	nm0001970,nm0126569,nm0417370,nm0388744,nm0843640
tt0082766	Mommie Dearest	1981	Biography,Drama	nm0001159,nm0769311,nm0002079,nm0196247,nm0675068
tt0082776	Ms .45	1981	Crime,Drama,Thriller	nm0568918,nm0526259,nm6186725,nm0802462,nm0836479,nm0001206
tt0082782	My Bloody Valentine	1981	Horror,Mystery,Thriller	nm0446986,nm0356590,nm0012682,nm0460974,nm0586198
tt0082783	My Dinner with Andre	1981	Comedy,Drama	nm0339737,nm0001728,nm0501721,nm0125123,nm0001501
tt0082817	Nighthawks	1981	Action,Crime,Thriller	nm0000230,nm0000442,nm0001850,nm0905993,nm0540330,nm0625379
tt0082846	On Golden Pond	1981	Drama	nm0000031,nm0000020,nm0000404,nm0571630,nm0041932
tt0082869	Outland	1981	Action,Crime,Sci-Fi	nm0000125,nm0827973,nm0001967,nm0797725,nm0001382
tt0082933	Possession	1981	Drama,Horror	nm0000254,nm0000554,nm0141380,nm0071502,nm0958558
tt0082934	The Postman Always Rings Twice	1981	Crime,Drama,Romance	nm0000197,nm0001448,nm0171475,nm0503627,nm0706182
tt0082951	The Prowler	1981	Horror,Mystery,Thriller	nm0206290,nm0332752,nm0862937,nm0335048,nm0957263
tt0082971	Indiana Jones and the Raiders of the Lost Ark	1981	Action,Adventure	nm0000148,nm0000261,nm0293550,nm0722636,nm0000229
tt0082979	Reds	1981	Biography,Drama,History	nm0000886,nm0000473,nm0001346,nm0467085
tt0083111	Southern Comfort	1981	Action,Thriller	nm0001018,nm0000959,nm0911542,nm0780546,nm0001353
tt0083131	Stripes	1981	Comedy,War	nm0000195,nm0001006,nm0000601,nm0643105,nm0718645
tt0083169	Taps	1981	Drama	nm0001715,nm0000459,nm0001074,nm0000576,nm0000887
tt0083190	Thief	1981	Action,Crime,Drama	nm0001001,nm0001839,nm0005268,nm0000902,nm0000520
tt0083284	Victory	1981	Drama,Sport,War	nm0000323,nm0000230,nm0671446,nm0600961,nm0001379
tt0083511	48 Hrs.	1982	Action,Comedy,Crime	nm0000560,nm0000552,nm0001578,nm0574433,nm0001353
tt0083530	Airplane II: The Sequel	1982	Comedy,Sci-Fi	nm0001332,nm0353546,nm0000978,nm0000994,nm0277946
tt0083550	Amityville II: The Possession	1982	Horror	nm0647921,nm0949350,nm0017377,nm0536214,nm0198765
tt0083564	Annie	1982	Comedy,Drama,Family	nm0703747,nm0001215,nm0000993,nm0718237,nm0001379
tt0083624	Basket Case	1982	Comedy,Horror	nm0889090,nm0810128,nm0094884,nm0900953,nm0376963
tt0083630	The Beastmaster	1982	Action,Adventure,Fantasy	nm0001743,nm0000617,nm0001800,nm0025309,nm0181741
tt0083642	The Best Little Whorehouse in Texas	1982	Comedy,Musical	nm0000608,nm0000573,nm0001123,nm0001164,nm0383359
tt0083658	Blade Runner	1982	Action,Drama,Sci-Fi	nm0000148,nm0000442,nm0000707,nm0001579,nm0000631
tt0083722	Cat People	1982	Fantasy,Horror,Thriller	nm0000176,nm0000532,nm0001334,nm0001578,nm0001707
tt0083739	Class of 1984	1982	Action,Crime,Drama	nm0455133,nm0743679,nm0887700,nm0001522,nm0504495
tt0083767	Creepshow	1982	Comedy,Fantasy,Horror	nm0001358,nm0000558,nm0000105,nm0550855,nm0001681
tt0083791	The Dark Crystal	1982	Adventure,Family,Fantasy	nm0001345,nm0612020,nm0000568,nm0324397
tt0083798	Dead Men Don't Wear Plaid	1982	Comedy,Crime,Mystery	nm0000188,nm0001829,nm0005348
tt0083806	Deathtrap	1982	Comedy,Crime,Mystery	nm0000323,nm0001659,nm0001007,nm0941683,nm0001486
tt0083833	Diner	1982	Comedy,Drama	nm0000430,nm0000620,nm0000102,nm0827663,nm0001469
tt0083866	E.T. the Extra-Terrestrial	1982	Adventure,Family,Sci-Fi	nm0001794,nm0000106,nm0001075,nm0908914,nm0000229
tt0083907	The Evil Dead	1981	Horror	nm0132257,nm0762445,nm0217822,nm0048260,nm0000600
tt0083929	Fast Times at Ridgemont High	1982	Comedy,Drama	nm0000576,nm0000492,nm0001662,nm0001680,nm0002132
tt0083943	Firefox	1982	Action,Adventure,Thriller	nm0000142,nm0428086,nm0400267,nm0165049
tt0083944	First Blood	1982	Action,Adventure,Thriller	nm0000230,nm0001133,nm0001077,nm0571853,nm0467646
tt0083946	Fitzcarraldo	1982	Adventure,Drama	nm0001428,nm0001012,nm0506784,nm0297450,nm0001348
tt0083972	Friday the 13th Part III	1982	Horror,Thriller	nm0454011,nm0767394,nm0111777,nm0050676,nm0591171
tt0083987	Gandhi	1982	Biography,Drama	nm0001426,nm0000024,nm0368990,nm0786022,nm0000277
tt0084021	Grease 2	1982	Comedy,Drama,Musical	nm0000201,nm0001028,nm0005167,nm0853808,nm0083279
tt0084237	The Last Unicorn	1982	Adventure,Animation,Drama	nm0000313,nm0001201,nm0001450,nm0000273,nm0060072,nm0710230
tt0084329	A Midsummer Night's Sex Comedy	1982	Comedy	nm0000095,nm0001201,nm0001207,nm0353546
tt0084335	Missing	1982	Biography,Drama,History	nm0000493,nm0000651,nm0563039,nm0790291,nm0002020
tt0084412	Night Shift	1982	Comedy	nm0001857,nm0000474,nm0001480,nm0372958,nm0000165
tt0084434	An Officer and a Gentleman	1982	Drama,Romance	nm0000152,nm0000700,nm0001418,nm0005162,nm0000431
tt0084503	Pink Floyd: The Wall	1982	Drama,Fantasy,Music	nm0002097,nm0362959,nm0491190,nm0202870,nm0000570
tt0084516	Poltergeist	1982	Horror,Thriller	nm0001851,nm0001576,nm0005266,nm0833152,nm0001361
tt0084522	Porky's	1981	Comedy	nm0597517,nm0380628,nm0461129,nm0934059,nm0163706
tt0084602	Rocky III	1982	Drama,Sport	nm0000230,nm0001735,nm0949350,nm0001835
tt0084707	Sophie's Choice	1982	Drama,Romance	nm0000658,nm0000177,nm0001493,nm0439334,nm0001587
tt0084726	Star Trek II: The Wrath of Khan	1982	Action,Adventure,Sci-Fi	nm0000638,nm0000559,nm0001420,nm0001150,nm0583292
tt0084745	Swamp Thing	1982	Horror,Sci-Fi	nm0431139,nm0000105,nm0936403,nm0381450,nm0000127
tt0084787	The Thing	1982	Horror,Mystery,Sci-Fi	nm0000621,nm0000979,nm0202966,nm0557956,nm0000118
tt0084805	Tootsie	1982	Comedy,Drama,Romance	nm0000163,nm0001448,nm0000414,nm0001056,nm0001628
tt0084809	The Toy	1982	Comedy	nm0001640,nm0001276,nm0000885,nm0777432,nm0001149
tt0084814	Trail of the Pink Panther	1982	Comedy,Crime,Mystery	nm0000057,nm0007042,nm0612321,nm0001175
tt0084827	TRON	1982	Action,Adventure,Sci-Fi	nm0000313,nm0000310,nm0001831,nm0604563,nm0513974
tt0084855	The Verdict	1982	Drama	nm0000056,nm0001648,nm0912001,nm0000051,nm0001486
tt0084865	Victor Victoria	1982	Comedy,Music,Romance	nm0000267,nm0001258,nm0696481,nm0000690,nm0001175
tt0084917	The World According to Garp	1982	Comedy,Drama	nm0000245,nm0002148,nm0000335,nm0001475,nm0001351
tt0085154	All the Right Moves	1983	Drama,Romance,Sport	nm0000129,nm0000670,nm0005266,nm0162541,nm0152469
tt0085210	Bad Boys	1983	Crime,Drama,Thriller	nm0000576,nm0763858,nm0600490,nm0348747,nm0742819
tt0085244	The Big Chill	1983	Comedy,Drama	nm0000297,nm0000335,nm0000156,nm0000458,nm0001410
tt0085255	Blue Thunder	1983	Action,Crime,Drama	nm0001702,nm0643105,nm0163748,nm0827663,nm0000824
tt0085271	Brainstorm	1983	Sci-Fi,Thriller	nm0000686,nm0000081,nm0001221,nm0731772,nm0874320
tt0085333	Christine	1983	Horror,Thriller	nm0330360,nm0007082,nm0000575,nm0698764,nm0000118
tt0085334	A Christmas Story	1983	Comedy,Family	nm0082526,nm0227039,nm0569000,nm0777432,nm0163706
tt0085346	Class	1983	Comedy,Drama,Romance	nm0000302,nm0000507,nm0000530,nm0731772,nm0137573
tt0085382	Cujo	1983	Horror,Thriller	nm0908914,nm0446298,nm0001622,nm0831791,nm0853546
tt0085407	The Dead Zone	1983	Drama,Horror,Sci-Fi	nm0000686,nm0000724,nm0000643,nm0007042,nm0000343
tt0085478	Educating Rita	1983	Comedy,Drama	nm0000323,nm0910278,nm0931302,nm0513520,nm0318150
tt0085542	Fire and Ice	1983	Adventure,Animation,Fantasy	nm0636278,nm0495021,nm0762080,nm0360484,nm0000835,nm0851073
tt0085549	Flashdance	1983	Drama,Music,Romance	nm0000884,nm0636694,nm0803785,nm1230879,nm0001490
